Name,Category,NOM ,Agave Type ,Agave Region ,Region ,Cooking ,Extraction ,Water Source ,Fermentation ,Distillation ,Still ,Aging ,ABV/Proof ,Other ,N_Ratings,PanelScore,ComScore,Agave (cooked),Caramel,Oak,Vanilla,Butter,Pepper (black),Fruity,Citrus,Olive,Dried Fruit,Orange,Lime,Smoke,Minerals,Earth,Anise,Brine/Salt,Cinnamon,Vegetal,Mint,Flowers,Herbal,Grass,White Pepper,Chocolate,Alcohol,Tobacco,Butterscotch,Honey,Leather,Nuts,Cream Soda,Pear,Raisin,Cherries (dried),Nutmeg,Tropical Fruits,Lactic,Whiskey,Cherry,Melon,Bell Pepper,Baking Spice,Almond,Pineapple,Pitted Fruit,Licorice,Agave (raw),Apple,Banana,Molasses,Maple,Barrel Spice,Peach,Toffee,Grapefruit,Mocha,Berry,Cocoa,Hazelnut,Clove,Plum,Nuts (Roasted),Coffee,Pinecone,Lemon,Yeast/Dough,Black Tea,Cedar,Pine Tree,Celery,Orange Blossom,Coconut,Tangerine,Prune,Orange Peel,Jalapeño,Wet Earth,Grass (cut),Grass (wet),Apple (green),Grapes,Wood Bark,Allspice,Mushroom,Charcoal,Rosemary,Cake Batter,Dill,Jasmine,Lavender,Spearmint,Cider,Astringent,Hay,Damiana,Solvent,Vinegar,Moss,Lemongrass,Chamomile,Peppermint,Medicinal,Rose,Wet Cement,Plastic,Oregano,Walnut,Sage,Toasted Bread,Fruit (fake),Wood Shavings,Thyme,Tamarind,Baby Oil,Musty,Artichoke,Metallic,Caraway Seed,Rubber,Varnish,Resin,Sawdust,Soap,Basil,Mild Ammonia,Sour Milk,Strawberry,Parsley,Artificial Sweetener,Acetone,Hominy,Baking Soda,Petrol,Limestone,Sulfur,Chlorine
Real Hacienda Único Blanco,Blanco,1111  (Previously 1460 ),Tequilana Weber,-,Jalisco (Central),-,-,-,100% agave,-,-,-,-,-,5,93,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Abuelos Añejo,Añejo,1493,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Tahona,Deep well water,100% agave Wood fermentation tanks Open-air fermentation,2x distilled,Copper Pot,American White Oak barrels Used barrels Bourbon barrels,40% abv (80-proof),Natural cork Charcoal filtration Distilled at or near proof Blended batches No additives,91,93,90,9,5,5,3,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De La Riva Tequila Añejo,Añejo,1414,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks Classical music,2x distilled,Copper Pot,Bourbon barrels,40% abv (80-proof),-,1,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascahuin Cerro De Luz Blanco,Blanco,1123,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Earthen Pit,Tahona,Deep well water,100% agave Open-air fermentation Fermentation with fibers Wood fermentation tanks,2x distilled,Copper Pot,-,49% abv (98-proof),No additives Distilled at or near proof Rested in glass,61,92,93,14,,,,3,9,4,4,,,,,10,8,7,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuenteseca Cosecha 2018 - Huerta ""Las Antenas""",Blanco,1146,Tequilana Weber,Single Estate Michoacán,Jalisco (Los Valles),Autoclave (low pressure),Roller Mill Screw Mill,Deep well water,100% agave Stainless steel tanks Fermentation without fibers,2x distilled,Copper Pot,-,44.8 (89.6-proof),Rested in stainless steel No additives,208,92,91,38,,,9,8,22,6,16,15,,,,,22,7,,22,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calle 23 Criollo,Blanco,1433,Tequilana Weber,Jalisco (Los Altos) Single Estate,Jalisco (Los Altos Southern),Autoclave (low pressure),Roller Mill,Deep well water,100% agave Stainless steel tanks Open-air fermentation Fermentation without fibers,2x distilled,Stainless Pot w/Copper Coil,-,49.3% abv (98.6-proof),Rested in stainless steel,286,92,91,50,,,,,39,,17,,,,,,17,22,11,,,29,21,18,15,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rey Sol ""La Cata"" Single Barrel Extra Añejo",Extra Añejo,1103,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks Open-air fermentation,2x distilled,Stainless Steel Pot,French Oak barrels Single Barrel Used barrels,54.5% abv (109-proof),-,79,92,90,3,9,3,2,1,3,2,,,,,,,,,,,,,,2,,,,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rincon Alteño Extra Añejo,Extra Añejo,1443,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,American White Oak barrels,40% abv (80-proof),-,2,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romance Reposado-Añejo,Reposado,1559,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot Column,-,40% abv (80-proof),-,13,92,86,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puro Tequila One-Ten,Blanco,1480,Tequilana Weber,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,-,-,-,3,92,81,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrón en Lalique: Serie 2,Extra Añejo,1492,Tequilana Weber,-,Jalisco (Ciénega),Stone/Brick Ovens,Tahona Roller Mill,-,100% agave Wood fermentation tanks,2x distilled,Copper Pot,French Oak barrels American White Oak barrels Used barrels Sherry casks,40% abv (80-proof),Blended batches No additives,16,91,92,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Abuelos Reposado,Reposado,1493,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Tahona,Deep well water,100% agave Wood fermentation tanks Open-air fermentation,2x distilled,Copper Pot,American White Oak barrels Used barrels Bourbon barrels,40% abv (80-proof),Natural cork Charcoal filtration Distilled at or near proof Blended batches No additives,91,91,91,14,5,4,7,6,6,2,3,,,,,,,3,,,2,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Mexicano Tequila Extra Añejo,Extra Añejo,1588,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Autoclave (low pressure),Roller Mill,Deep well water,100% agave Stainless steel tanks Classical music Open-air fermentation Fermentation without fibers,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),No additives,5,91,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Common Tequila Blanco,Blanco,1123,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Tahona Roller Mill,Deep well water,100% agave Open-air fermentation Fermentation with fibers Cement Tank Stainless steel tanks Fermentation without fibers,2x distilled,Copper Pot,-,42% abv (84-proof),No additives Rested in stainless steel,162,91,90,38,,,,,26,8,17,,,,,,13,,8,10,16,6,10,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinta Negra Supreme Extra Añejo,Extra Añejo,1477,Tequilana Weber,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks Mixto,2x distilled,Copper Pot,French Oak barrels American White Oak barrels Wine casks New barrels Used barrels,40% abv (80-proof),-,10,91,90,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascahuín Aniversario Blanco,Blanco,1123,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Earthen Pit,Tahona,Deep well water,100% agave Open-air fermentation Fermentation with fibers Cement Tank,2x distilled,Stainless Pot w/Copper Coil,-,46% abv (92-proof),Unfiltered No additives,91,91,90,19,,,,6,8,3,9,,,,,21,,10,,,3,8,,,,6,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tequila G4 Extra Añejo ""55""",Extra Añejo,1579,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Tahona,Natural spring water Rain water,100% agave Stainless steel tanks Fermentation without fibers,2x distilled,Copper Pot,American White Oak barrels Used barrels Bourbon barrels,45% abv (90-proof),No additives,69,91,90,9,2,7,4,,3,2,,,,,,,2,,,,4,,,,,,,,4,,3,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortaleza Blanco (Still Strength),Blanco,1493,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Tahona,Deep well water,100% agave Wood fermentation tanks Fermentation without fibers,2x distilled,Copper Pot,-,46% abv (92-proof),No additives Distilled at or near proof Natural cork,752,91,90,131,,,16,32,56,14,46,45,,,,,15,37,,25,,24,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuenteseca Cosecha 2013 - Huerta ""El Maguey""",Blanco,1146,Tequilana Weber,Jalisco (Los Altos) Single Estate,Jalisco (Los Valles),Autoclave (low pressure),Screw Mill Roller Mill,Deep well water,100% agave Stainless steel tanks Fermentation without fibers,2x distilled,Copper Pot,-,46% abv (92-proof),Rested in stainless steel No additives,174,91,90,36,,,,,15,7,9,8,,,,5,5,7,,8,13,4,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tapatio Excelencia Extra Añejo (Lot 1, MX only)",Extra Añejo,1139,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill Tahona,Deep well water,100% agave Wood fermentation tanks Open-air fermentation Fermentation with fibers,2x distilled,Copper Pot,Bourbon barrels,40% abv (80-proof),No additives,225,91,90,29,25,22,18,7,9,,10,,,,,,,,,,7,,,,,,,6,,,13,,,,,,,,,,,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM Spirits Tequila Blanco Still Strength,Blanco,1468,Tequilana Weber,Jalisco (Los Altos) Single Estate,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,100% agave Stainless steel tanks Fermentation without fibers,2x distilled,Copper Pot,Used barrels Bourbon barrels,55% abv (110-proof),Rested in oak barrels,14,91,89,4,,,,1,,,2,,,,,,2,5,,,4,1,4,,2,,,,,,,,,,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Tesoro Extra Añejo,Extra Añejo,1139,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Tahona,Deep well water,100% agave Wood fermentation tanks Open-air fermentation Fermentation with fibers,2x distilled,Copper Pot,Used barrels Bourbon barrels,40% abv (80-proof),No additives,355,91,89,38,17,27,20,6,25,,,,,,,,7,8,,,12,,,,,,,7,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascahuín Extra Añejo,Extra Añejo,1123,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,Deep well water,100% agave Stainless steel tanks Fermentation without fibers,2x distilled,Stainless Pot w/Copper Coil,American White Oak barrels Used barrels Bourbon barrels,43% abv (86-proof),No additives,305,91,89,50,36,35,21,7,21,10,,,15,,,,,,,,8,,,,,,,8,13,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gran Dovejo Blanco High Proof,Blanco,1414,Tequilana Weber,Single Estate Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,100% agave Stainless steel tanks Champagne Yeast Classical music Fermentation without fibers,2x distilled,Copper Pot,-,49% abv (98-proof),Distilled at or near proof No additives,165,91,89,41,,,,14,21,,13,,,,,,17,8,,,6,5,,,,,,,7,,,,,,,5,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasote Extra Añejo,Extra Añejo,1579,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Tahona,Rain water Natural spring water,100% agave Stainless steel tanks Fermentation without fibers,2x distilled,Copper Pot,Used barrels Bourbon barrels,45% abv (90-proof),-,148,91,88,20,10,9,10,,5,,5,,,,,,6,,,,4,,,,,,,,6,,,,,,,,,,,,,3,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siembra Valles High Proof Blanco,Blanco,1123,Tequilana Weber,Jalisco (Tequila Valley) Single Estate,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,Deep well water,100% agave Wood fermentation tanks,2x distilled,Stainless Pot w/Copper Coil,-,46% abv (92-proof),No additives,145,91,88,32,,,,,23,,10,,,,,,,6,6,7,6,9,,,,5,,,6,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinaco Black Extra Añejo,Extra Añejo,1127,Tequilana Weber,Tamaulipas,Tamaulípas,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,18,91,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berrueco Reposado Tequila,Reposado,1432,Tequilana Weber,-,Jalisco (Los Valles),-,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,-,American White Oak barrels New barrels,40% abv (80-proof),-,5,91,86,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocho Tequila Añejo - Cask Finish - Plantation Barbados,Añejo,1474,Tequilana Weber,Jalisco (Los Altos) Single Estate,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Natural spring water,100% agave Wood fermentation tanks Open-air fermentation Fermentation without fibers,2x distilled,Copper Pot,Used barrels French Oak barrels Rum barrels,46% abv (92-proof),Aeration No additives,54,91,85,7,3,2,3,3,,3,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888 Reposado,Reposado,1472,Tequilana Weber,-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,12,91,78,3,,1,1,,,,1,,,,,,,,,,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave Dos Mil Grand Reserve Tequila Reposado,Reposado,1079,Tequilana Weber,-,Jalisco (Los Altos Southern),Stone/Brick Ovens,-,-,100% agave,2x distilled,Copper Pot,-,40% abv (80-proof),-,1,91,,1,,,,1,1,,,,1,,,,,,,,1,,,,,,1,,1,,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tequila Alquimia Extra Añejo XIV,Extra Añejo,1468,Tequilana Weber,Jalisco (Los Altos) Single Estate,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,American White Oak barrels Whisky barrels Used barrels,50% abv (100-proof),Organic,42,90,93,8,9,5,9,,,6,,,7,,,2,,,,,,,,,,,,,5,,,,,,,,,,,,,3,2,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tequila Cabeza Sagrado Extra Anejo,Extra Añejo,1414,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,100% agave Stainless steel tanks Open-air fermentation,2x distilled,Copper Pot,American White Oak barrels Used barrels,47% abv (94-proof),Blended batches,13,90,93,6,,3,3,,2,1,,,1,,,,,,,,,,3,,,,,3,,,,,,,,,,,,1,,,3,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Vicente Tequila Extra Añejo,Extra Añejo,1579,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Tahona,Deep well water,100% agave Stainless steel tanks Open-air fermentation Fermentation without fibers,2x distilled,Copper Pot,American White Oak barrels Used barrels,40% abv (80-proof),Aeration No additives,13,90,92,4,,3,3,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tequila Alabanza Extra Añejo,Extra Añejo,1431,Tequilana Weber,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,4,90,92,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Abuelos Blanco (Still Strength),Blanco,1493,Tequilana Weber,Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens,Tahona,Deep well water,100% agave Wood fermentation tanks Open-air fermentation Fermentation without fibers,2x distilled,Copper Pot,-,46% abv (92-proof),Distilled at or near proof No additives,60,90,91,17,,,,2,9,5,7,3,,,3,,,4,,,,4,,,5,,,,4,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Tesoro 80th Anniversary Extra Añejo,Extra Añejo,1139,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Natural spring water,100% agave Wood fermentation tanks,2x distilled,Copper Pot,American White Oak barrels Used barrels Bourbon barrels,41.5% abv (83-proof),No additives,48,90,91,5,4,4,,1,3,1,1,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malinalli Extra Añejo Tequila,Extra Añejo,1551  (Previously 1360 ),Tequilana Weber,-,Jalisco (Central),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,16,90,91,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tequila Ocho Plata Puntas - 2021 La Ladera,Blanco,1474,Tequilana Weber,Jalisco (Los Altos) Single Estate,Jalisco (Los Altos Southern),Stone/Brick Ovens,Roller Mill,Deep well water,100% agave Wood fermentation tanks Open-air fermentation Fermentation without fibers,2x distilled,Copper Pot,-,50.5% abv (101-proof),Aeration No additives,74,90,90,14,,,,3,8,5,4,,,,,,3,,4,8,5,,,4,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volans Single Barrel Reposado,Reposado,1579,Tequilana Weber,Jalisco (Los Altos),Jalisco (Los Altos Southern),Stone/Brick Ovens,Tahona,Deep well water Natural spring water Rain water,100% agave Stainless steel tanks Fermentation without fibers,2x distilled,Copper Pot,Used barrels Bourbon barrels,40% abv (80-proof),No additives,95,90,90,17,7,5,3,,7,3,,,6,,,,4,9,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suave Extra Añejo V.S.B.,Extra Añejo,1522,Tequilana Weber,Jalisco (Tequila Valley) Single Estate,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,Deep well water,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,Single Barrel American White Oak barrels Used barrels Bourbon barrels,40% abv (80-proof),Organic,19,90,90,2,2,2,3,2,,3,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siete Leguas Etiqueta Negra Añejo,Añejo,1120,Tequilana Weber,Jalisco (Los Altos),Jalisco (Ciénega),Stone/Brick Ovens,Tahona Roller Mill,Natural spring water,100% agave Wood fermentation tanks,2x distilled,Copper Pot,-,40% abv (80-proof),No additives,8,90,90,1,,1,1,1,,,1,,,,,,,,,,1,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arette Unique Extra Añejo,Extra Añejo,1109,Tequilana Weber,-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Pot w/Copper Coil,American White Oak barrels,40% abv (80-proof),-,15,90,90,2,2,3,2,,2,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
